,id,name,league,rank,rank_percentage
0,15429,Kris Bryant,mlb,8.0,0.591558842562947
1,jamesle01,LeBron James,nba,3.9285714285714284,0.86447322811441
2,ovechal01,Alex Ovechkin,nhl,9.416666666666666,1.0657518693392414
3,moorema01w,Maya Moore,wnba,2.5714285714285716,1.7144217718916923
4,paulch01,Chris Paul,nba,8.25,1.7896731968824033
5,matthau01,Auston Matthews,nhl,16.0,1.8018018018018018
6,panarar01,Artemi Panarin,nhl,18.0,2.016994723008086
7,12916,Francisco Lindor,mlb,27.333333333333332,2.0236839602494787
8,lidstni01,Nicklas Lidstrom,nhl,18.4,2.2978955831611807
9,crosbsi01,Sidney Crosby,nhl,23.0,2.5991700914745395
10,duncati01,Tim Duncan,nba,14.421052631578947,3.099115840853408
11,townska01,Karl-Anthony Towns,nba,15.0,3.1318082788671022
12,2036,Clayton Kershaw,mlb,42.5,3.2934444579319675
13,jokicni01,Nikola Jokic,nba,16.0,3.3418923124805477
14,ogwumnn01w,Nneka Ogwumike,wnba,5.333333333333333,3.4535956272925667
15,leonaka01,Kawhi Leonard,nba,17.666666666666668,3.6994844781260317
16,catchta01w,Tamika Catchings,wnba,6.533333333333333,4.009131033274793
17,rafalbr01,Brian Rafalski,nhl,35.54545454545455,4.049934695580062
18,stewabr01w,Breanna Stewart,wnba,6.5,4.132064823026687
19,doughdr01,Drew Doughty,nhl,38.111111111111114,4.333202711344847
20,kanepa01,Patrick Kane,nhl,38.2,4.339349023687893
21,kiddja01,Jason Kidd,nba,20.842105263157894,4.669888075714298
22,10155,Mike Trout,mlb,60.857142857142854,4.695225482840334
23,9368,Evan Longoria,mlb,62.6,4.746539651410057
24,westbru01,Russell Westbrook,nba,21.666666666666668,4.763607293148025
25,griffbl01,Blake Griffin,nba,23.0,4.818164819491175
26,hardeja01,James Harden,nba,22.75,5.0448158641147
27,kovalil01,Ilya Kovalchuk,nhl,44.72727272727273,5.151989093898933
28,9847,Andrew McCutchen,mlb,69.55555555555556,5.261933205830127
29,lillada01,Damian Lillard,nba,25.2,5.301697403509227
30,delleel01w,Elena Delle Donne,wnba,8.2,5.308129452012841
31,toewsjo01,Jonathan Toews,nhl,47.0,5.333135928550795
32,13611,Mookie Betts,mlb,71.0,5.353889043923507
33,837,Mike Mussina,mlb,62.44444444444444,5.391312106869889
34,ogwumch01w,Chiney Ogwumike,wnba,8.5,5.453723491698176
35,robinda01,David Robinson,nba,23.785714285714285,5.474456056475885
36,tavarjo01,John Tavares,nhl,48.5,5.486021873543891
37,klingjo01,John Klingberg,nhl,48.666666666666664,5.497935779513889
38,malkiev01,Evgeni Malkin,nhl,48.63636363636363,5.54464021237171
39,jagrja01,Jaromir Jagr,nhl,47.08695652173913,5.747388140670207
40,4949,Giancarlo Stanton,mlb,75.75,5.777592873517249
41,grinebr01w,Brittney Griner,wnba,8.8,5.797139772628491
42,iguodan01,Andre Iguodala,nba,28.384615384615383,6.018438784489949
43,davisan02,Anthony Davis,nba,29.0,6.096254382112952
44,curryst01,Stephen Curry,nba,28.375,6.126095258638055
45,11579,Bryce Harper,mlb,82.33333333333333,6.218317829037951
46,karlser01,Erik Karlsson,nhl,54.875,6.297815413914543
47,shattke01,Kevin Shattenkirk,nhl,56.42857142857143,6.401394501811652
48,duranke01,Kevin Durant,nba,29.6,6.437888470795464
49,gasolma01,Marc Gasol,nba,30.11111111111111,6.440956359565563
50,3137,Max Scherzer,mlb,83.6,6.493952170349135
51,547,Jeff Bagwell,mlb,79.66666666666667,6.6141757285240015
52,backsni02,Nicklas Backstrom,nhl,58.6,6.666320153006768
53,keithdu01,Duncan Keith,nhl,60.0,6.868738510619093
54,9777,Nolan Arenado,mlb,91.4,6.9364812094531345
55,gasolpa01,Pau Gasol,nba,32.625,7.031146540772227
56,13624,Corey Seager,mlb,95.0,7.044471556849481
57,millere01,Reggie Miller,nba,29.11111111111111,7.161268120594629
58,leslili01w,Lisa Leslie,wnba,11.5,7.180836263263502
59,mcdavco01,Connor McDavid,nhl,64.5,7.184509119364354
60,9218,Paul Goldschmidt,mlb,93.57142857142857,7.1959163655409295
61,millspa01,Paul Millsap,nba,33.36363636363637,7.260845461418047
62,wadedw01,Dwyane Wade,nba,34.714285714285715,7.3833595423229825
63,sundima01,Mats Sundin,nhl,60.333333333333336,7.48934973189703
64,840,Andy Pettitte,mlb,93.94444444444444,7.580229416436877
65,6195,Ian Kinsler,mlb,97.5,7.594515150915494
66,irvinky01,Kyrie Irving,nba,37.666666666666664,7.875724977614613
67,kopitan01,Anze Kopitar,nhl,69.0,7.895817773543268
68,97,Chipper Jones,mlb,95.3157894736842,8.00672599541294
69,10131,Stephen Strasburg,mlb,104.375,8.04103247242238
70,datsypa01,Pavel Datsyuk,nhl,71.71428571428571,8.107548992173506
71,8700,Justin Verlander,mlb,103.46153846153847,8.157224769986586
72,allenra02,Ray Allen,nba,37.94444444444444,8.29822598683706
73,webersh01,Shea Weber,nhl,72.75,8.416966107154668
74,getzlry01,Ryan Getzlaf,nhl,74.66666666666667,8.483583927314617
75,tarasvl01,Vladimir Tarasenko,nhl,73.0,8.528271414553966
76,bullevi01w,Vicky Bullett,wnba,15.666666666666666,8.556044690369946
77,bennja01,Jamie Benn,nhl,74.75,8.57424564201641
78,sakicjo01,Joe Sakic,nhl,70.2,8.646111824799096
79,11493,Manny Machado,mlb,113.33333333333333,8.651449444501667
80,639,Adrian Beltre,mlb,107.7,8.731080161224572
81,ginobma01,Manu Ginobili,nba,40.733333333333334,8.733930788832247
82,zubovse01,Sergei Zubov,nhl,73.1875,8.737641522401132
83,stamkst01,Steven Stamkos,nhl,77.77777777777777,8.772762132869218
84,suterry01,Ryan Suter,nhl,76.41666666666667,8.776410297583155
85,konstvl01,Vladimir Konstantinov,nhl,64.83333333333333,8.77746939662628
86,13110,Yoenis Cespedes,mlb,117.33333333333333,8.822549744494884
87,10603,Chris Sale,mlb,112.5,8.832262170742592
88,walljo01,John Wall,nba,41.42857142857143,8.849889181659691
89,zettehe01,Henrik Zetterberg,nhl,79.21428571428571,8.8955996751234
90,leetcbr01,Brian Leetch,nhl,70.94444444444444,9.143094078537844
91,niedesc01,Scott Niedermayer,nhl,71.33333333333333,9.165606727712412
92,pippesc01,Scottie Pippen,nba,37.35294117647059,9.175530761518747
93,brogami01w,Michelle Brogan,wnba,15.5,9.232669445731048
94,4772,Felix Hernandez,mlb,122.15384615384616,9.251923261640805
95,571,Roy Oswalt,mlb,118.38461538461539,9.261907443002952
96,jonesed02,Eddie Jones,nba,41.142857142857146,9.264180528748037
97,3410,Ryan Braun,mlb,123.72727272727273,9.394607545920874
98,jonesjo01w,Jonquel Jones,wnba,15.0,9.499717810207207
99,monrogr01,Greg Monroe,nba,45.42857142857143,9.508462866437315
100,11530,Jose Fernandez,mlb,126.5,9.51910674424945
101,seguity01,Tyler Seguin,nhl,84.57142857142857,9.536054176620976
102,charlti01w,Tina Charles,wnba,14.25,9.547985354784602
103,mcdonry01,Ryan McDonagh,nhl,84.42857142857143,9.549431958362215
104,battish01,Shane Battier,nba,44.0,9.568872544755836
105,perryco01,Corey Perry,nhl,83.66666666666667,9.610625996134132
106,vanekth01,Thomas Vanek,nhl,85.75,9.726300605848175
107,batumni01,Nicolas Batum,nba,45.111111111111114,9.79835538936191
108,willina01w,Natalie Williams,wnba,17.571428571428573,9.812382362425392
109,mccouan01w,Angel McCoughtry,wnba,15.0,9.883778767025474
110,howardw01,Dwight Howard,nba,47.23076923076923,9.92139173845015
111,paveljo01,Joe Pavelski,nhl,86.0,9.922462895781612
112,garneke01,Kevin Garnett,nba,46.904761904761905,9.965988828095353
113,11762,Noah Syndergaard,mlb,135.33333333333334,9.984206354918065
114,404,CC Sabathia,mlb,130.1764705882353,9.997977483257928
115,fijalis01w,Isabelle Fijalkowski,wnba,11.0,10.000811754200829
116,coopecy01w,Cynthia Cooper,wnba,17.6,10.026743316334516
117,tauradi01w,Diana Taurasi,wnba,15.615384615384615,10.195782219745468
118,1744,Miguel Cabrera,mlb,134.06666666666666,10.244621917941856
119,60,Randy Johnson,mlb,115.4090909090909,10.282878198888323
120,fleurth01,Theoren Fleury,nhl,79.8,10.288532741971247
121,iginlja01,Jarome Iginla,nhl,86.85,10.291138212045334
122,onealsh01,Shaquille O'Neal,nba,46.0,10.29308238949036
123,3787,David Wright,mlb,135.15384615384616,10.2952395285817
124,nashri01,Rick Nash,nhl,91.5,10.333107825430274
125,josiro01,Roman Josi,nhl,91.16666666666667,10.399463321711702
126,staaler01,Eric Staal,nhl,93.38461538461539,10.445752814168767
127,225,Mark Buehrle,mlb,132.4375,10.448054126421502
128,jacksla01w,Lauren Jackson,wnba,16.0,10.449079133484625
129,alfreda01,Daniel Alfredsson,nhl,88.33333333333333,10.451835209130143
130,selante01,Teemu Selanne,nhl,90.85714285714286,10.509164564620368
131,parkeca01w,Candace Parker,wnba,15.6,10.52421326669475
132,johnsla02,Larry Johnson,nba,45.1,10.567617371316095
133,whaleli01w,Lindsay Whalen,wnba,16.857142857142858,10.60425096501148
134,1943,Zack Greinke,mlb,137.0,10.817319851965866
135,yashial01,Alexei Yashin,nhl,90.91666666666667,10.886449623057727
136,4930,Jon Lester,mlb,140.83333333333334,10.979989915862474
137,4940,Jason Heyward,mlb,147.625,11.073295260434158
138,3184,David Price,mlb,144.2,11.094065909954098
139,642,Kevin Brown,mlb,123.16666666666667,11.111754063253148
140,phanedi01,Dion Phaneuf,nhl,98.25,11.122560371205198
141,carteje01,Jeff Carter,nhl,97.41666666666667,11.158851298536765
142,bonnede01w,DeWanna Bonner,wnba,16.875,11.250325959398253
143,stepade01,Derek Stepan,nhl,100.42857142857143,11.289415204094727
144,horfoal01,Al Horford,nba,53.3,11.350835484131546
145,455,Larry Walker,mlb,124.05882352941177,11.352700192749111
146,mariosh01,Shawn Marion,nba,52.9375,11.451606215310683
147,hamildo01,Dougie Hamilton,nhl,100.6,11.496724901058432
148,noahjo01,Joakim Noah,nba,53.7,11.517491625373797
149,mcwilta01w,Taj McWilliams-Franklin,wnba,20.285714285714285,11.525057239532453
150,4314,Joey Votto,mlb,149.36363636363637,11.575024050966825
